model_name,task_name,xai_name,total_coverage,coverage_class0,coverage_class1
FCN,GunPoint,Saliency,0.5266666666666666,0.5263157894736842,0.527027027027027
FCN,GunPoint,GuidedBackprop,0.5266666666666666,0.5263157894736842,0.527027027027027
FCN,GunPoint,InputXGradient,0.5,0.5,0.5
FCN,GunPoint,KernelShap,0.006666666666666667,0.013157894736842105,0.0
FCN,GunPoint,Lime,0.31333333333333335,0.32894736842105265,0.2972972972972973
FCN,GunPoint,Occlusion,0.36,0.3157894736842105,0.40540540540540543
FCN,ECG200,Saliency,0.54,0.6875,0.47058823529411764
FCN,ECG200,GuidedBackprop,0.52,0.625,0.47058823529411764
FCN,ECG200,InputXGradient,0.14,0.125,0.14705882352941177
FCN,ECG200,KernelShap,0.05,0.0625,0.04411764705882353
FCN,ECG200,Lime,0.18,0.21875,0.16176470588235295
FCN,ECG200,Occlusion,0.52,0.65625,0.45588235294117646
FCN,DistalPhalanxOutlineCorrect,Saliency,0.2210144927536232,0.25688073394495414,0.19760479041916168
FCN,DistalPhalanxOutlineCorrect,GuidedBackprop,0.3804347826086957,0.3577981651376147,0.39520958083832336
FCN,DistalPhalanxOutlineCorrect,InputXGradient,0.2971014492753623,0.30275229357798167,0.2934131736526946
FCN,DistalPhalanxOutlineCorrect,KernelShap,0.0,0.0,0.0
FCN,DistalPhalanxOutlineCorrect,Lime,0.050724637681159424,0.03669724770642202,0.059880239520958084
FCN,DistalPhalanxOutlineCorrect,Occlusion,0.13405797101449277,0.1651376146788991,0.11377245508982035
FCN,PowerCons,Saliency,0.3277777777777778,0.32954545454545453,0.32608695652173914
FCN,PowerCons,GuidedBackprop,0.2388888888888889,0.2159090909090909,0.2608695652173913
FCN,PowerCons,InputXGradient,0.3277777777777778,0.32954545454545453,0.32608695652173914
FCN,PowerCons,KernelShap,0.03888888888888889,0.045454545454545456,0.03260869565217391
FCN,PowerCons,Lime,0.18333333333333332,0.2159090909090909,0.15217391304347827
FCN,PowerCons,Occlusion,0.37777777777777777,0.32954545454545453,0.42391304347826086
FCN,Earthquakes,Saliency,0.460431654676259,0.4188034188034188,0.6818181818181818
FCN,Earthquakes,GuidedBackprop,0.460431654676259,0.4188034188034188,0.6818181818181818
FCN,Earthquakes,InputXGradient,0.460431654676259,0.4188034188034188,0.6818181818181818
FCN,Earthquakes,KernelShap,0.22302158273381295,0.18803418803418803,0.4090909090909091
FCN,Earthquakes,Lime,0.2446043165467626,0.2222222222222222,0.36363636363636365
FCN,Earthquakes,Occlusion,0.45323741007194246,0.41025641025641024,0.6818181818181818
FCN,Strawberry,Saliency,0.5324324324324324,0.5454545454545454,0.5252100840336135
FCN,Strawberry,GuidedBackprop,0.5324324324324324,0.5454545454545454,0.5252100840336135
FCN,Strawberry,InputXGradient,0.5324324324324324,0.5454545454545454,0.5252100840336135
FCN,Strawberry,KernelShap,0.02972972972972973,0.03787878787878788,0.025210084033613446
FCN,Strawberry,Lime,0.3621621621621622,0.3787878787878788,0.35294117647058826
FCN,Strawberry,Occlusion,0.5324324324324324,0.5454545454545454,0.5252100840336135
InceptionTime,GunPoint,Saliency,0.5133333333333333,0.5131578947368421,0.5135135135135135
InceptionTime,GunPoint,GuidedBackprop,0.5133333333333333,0.5131578947368421,0.5135135135135135
InceptionTime,GunPoint,InputXGradient,0.5133333333333333,0.5131578947368421,0.5135135135135135
InceptionTime,GunPoint,KernelShap,0.12666666666666668,0.11842105263157894,0.13513513513513514
InceptionTime,GunPoint,Lime,0.18666666666666668,0.17105263157894737,0.20270270270270271
InceptionTime,GunPoint,Occlusion,0.5133333333333333,0.5131578947368421,0.5135135135135135
InceptionTime,ECG200,Saliency,0.46,0.46153846153846156,0.45901639344262296
InceptionTime,ECG200,GuidedBackprop,0.22,0.3076923076923077,0.16393442622950818
InceptionTime,ECG200,InputXGradient,0.19,0.23076923076923078,0.16393442622950818
InceptionTime,ECG200,KernelShap,0.02,0.0,0.03278688524590164
InceptionTime,ECG200,Lime,0.19,0.23076923076923078,0.16393442622950818
InceptionTime,ECG200,Occlusion,0.54,0.5128205128205128,0.5573770491803278
InceptionTime,DistalPhalanxOutlineCorrect,Saliency,0.3333333333333333,0.5180722891566265,0.2538860103626943
InceptionTime,DistalPhalanxOutlineCorrect,GuidedBackprop,0.14130434782608695,0.21686746987951808,0.10880829015544041
InceptionTime,DistalPhalanxOutlineCorrect,InputXGradient,0.4384057971014493,0.6265060240963856,0.35751295336787564
InceptionTime,DistalPhalanxOutlineCorrect,KernelShap,0.010869565217391304,0.024096385542168676,0.0051813471502590676
InceptionTime,DistalPhalanxOutlineCorrect,Lime,0.09057971014492754,0.10843373493975904,0.08290155440414508
InceptionTime,DistalPhalanxOutlineCorrect,Occlusion,0.4963768115942029,0.6746987951807228,0.41968911917098445
InceptionTime,PowerCons,Saliency,0.4888888888888889,0.45555555555555555,0.5222222222222223
InceptionTime,PowerCons,GuidedBackprop,0.5166666666666667,0.5111111111111111,0.5222222222222223
InceptionTime,PowerCons,InputXGradient,0.5,0.4777777777777778,0.5222222222222223
InceptionTime,PowerCons,KernelShap,0.05,0.03333333333333333,0.06666666666666667
InceptionTime,PowerCons,Lime,0.3,0.3111111111111111,0.28888888888888886
InceptionTime,PowerCons,Occlusion,0.5222222222222223,0.5222222222222223,0.5222222222222223
InceptionTime,Earthquakes,Saliency,0.4316546762589928,0.368,1.0
InceptionTime,Earthquakes,GuidedBackprop,0.4244604316546763,0.368,0.9285714285714286
InceptionTime,Earthquakes,InputXGradient,0.4460431654676259,0.384,1.0
InceptionTime,Earthquakes,KernelShap,0.10071942446043165,0.08,0.2857142857142857
InceptionTime,Earthquakes,Lime,0.34532374100719426,0.296,0.7857142857142857
InceptionTime,Earthquakes,Occlusion,0.4460431654676259,0.384,1.0
InceptionTime,Strawberry,Saliency,0.5108108108108108,0.5037037037037037,0.5148936170212766
InceptionTime,Strawberry,GuidedBackprop,0.5108108108108108,0.5037037037037037,0.5148936170212766
InceptionTime,Strawberry,InputXGradient,0.5108108108108108,0.5037037037037037,0.5148936170212766
InceptionTime,Strawberry,KernelShap,0.16756756756756758,0.17777777777777778,0.16170212765957448
InceptionTime,Strawberry,Lime,0.2972972972972973,0.25925925925925924,0.3191489361702128
InceptionTime,Strawberry,Occlusion,0.5108108108108108,0.5037037037037037,0.5148936170212766
