model_name,task_name,xai_name,total_coverage,coverage_class0,coverage_class1
FCN,Coffee,Saliency,0.4642857142857143,0.5714285714285714,0.35714285714285715
FCN,Coffee,GuidedBackprop,0.5,0.6428571428571429,0.35714285714285715
FCN,Coffee,InputXGradient,0.5,0.6428571428571429,0.35714285714285715
FCN,Coffee,KernelShap,0.0,0.0,0.0
FCN,Coffee,Lime,0.2857142857142857,0.2857142857142857,0.2857142857142857
FCN,Coffee,Occlusion,0.5,0.6428571428571429,0.35714285714285715
FCN,Chinatown,Saliency,0.0,0.0,0.0
FCN,Chinatown,GuidedBackprop,0.0,0.0,0.0
FCN,Chinatown,InputXGradient,0.0,0.0,0.0
FCN,Chinatown,KernelShap,0.0,0.0,0.0
FCN,Chinatown,Lime,0.0,0.0,0.0
FCN,Chinatown,Occlusion,0.0,0.0,0.0
FCN,Computers,Saliency,0.4,0.376,0.424
FCN,Computers,GuidedBackprop,0.396,0.4,0.392
FCN,Computers,InputXGradient,0.468,0.464,0.472
FCN,Computers,KernelShap,0.128,0.184,0.072
FCN,Computers,Lime,0.396,0.36,0.432
FCN,Computers,Occlusion,0.476,0.464,0.488
FCN,ECGFiveDays,Saliency,0.3205574912891986,0.3076923076923077,0.3318777292576419
FCN,ECGFiveDays,GuidedBackprop,0.140534262485482,0.009925558312655087,0.2554585152838428
FCN,ECGFiveDays,InputXGradient,0.4994192799070848,0.5086848635235732,0.4912663755458515
FCN,ECGFiveDays,KernelShap,0.07317073170731707,0.07692307692307693,0.06986899563318777
FCN,ECGFiveDays,Lime,0.20441347270615565,0.22084367245657568,0.18995633187772926
FCN,ECGFiveDays,Occlusion,0.4994192799070848,0.5086848635235732,0.4912663755458515
FCN,TwoLeadECG,Saliency,0.4986830553116769,0.48776223776223776,0.5097001763668431
FCN,TwoLeadECG,GuidedBackprop,0.2467076382791923,0.0,0.49559082892416223
FCN,TwoLeadECG,InputXGradient,0.40825285338015804,0.4825174825174825,0.3333333333333333
FCN,TwoLeadECG,KernelShap,0.004389815627743635,0.005244755244755245,0.003527336860670194
FCN,TwoLeadECG,Lime,0.1369622475856014,0.11888111888111888,0.15520282186948853
FCN,TwoLeadECG,Occlusion,0.4679543459174715,0.4825174825174825,0.4532627865961199
FCN,Lightning2,Saliency,0.4262295081967213,0.34615384615384615,0.4857142857142857
FCN,Lightning2,GuidedBackprop,0.36065573770491804,0.2692307692307692,0.42857142857142855
FCN,Lightning2,InputXGradient,0.4918032786885246,0.4230769230769231,0.5428571428571428
FCN,Lightning2,KernelShap,0.16393442622950818,0.15384615384615385,0.17142857142857143
FCN,Lightning2,Lime,0.4098360655737705,0.38461538461538464,0.42857142857142855
FCN,Lightning2,Occlusion,0.4918032786885246,0.4230769230769231,0.5428571428571428
FCN,FordA,Saliency,0.5,0.5140324963072378,0.48522550544323484
